x,y,c
34.7873023613,164.594765793,21.615827542961604
-5.37866402611,31.4357757411,-3.3421468785480295
15.1236912534,3.75469286272,9.397426065154498
9.48453700184,43.9931521006,5.89341806465243
47.8877275288,425.834993032,29.756054348107053
-8.2847210256,142.540291387,-5.14788698103078
64.4916785128,607.543400843,40.073271166885384
61.4609029017,598.903195445,38.190034512012346
4.22863013012,39.8893780111,2.627548945483377
48.6378195529,410.002868792,30.222139923409785
9.2566277041,-98.3462727747,5.751801792593752
-1.99570856907,30.6810546488,-1.2400758129212897
22.5238579851,5.59432555017,13.995676489985982
39.9740946632,196.108729896,24.83875085948063
54.470703919,520.901549593,33.84652623615585
-1.17460021059,-87.3912782428,-0.7298627332565318
52.3021899695,372.366084529,32.499074137971746
67.4676510564,716.605897348,41.922454774367694
38.8525797423,228.591852984,24.14187379596904
18.3979963771,67.1703130384,11.431984943616778
-5.72008556072,-74.1728886384,-3.5542963845641453
25.3084730809,45.7804000048,15.725956091985307
41.2890942038,166.625005892,25.655853691814798
38.5651526697,276.451491284,23.96327489318629
1.03493432948,6.18649585827,0.6430783781963334
57.6375008168,515.422244926,35.81428260011533
32.5106627831,251.202488559,20.20118929396077
4.86339778817,-23.0148487536,3.021975281959606
16.0991492158,-1.06200182718,10.003547542228386
33.1954088577,201.809342323,20.626670778714807
15.3849673307,36.4731198005,9.559775492809493
58.8780943088,582.222510531,36.58515165732124
43.7081600199,275.304541525,27.158991502065437
41.4601209287,194.383895185,25.76212477177036
35.6608597539,209.361556017,22.1586309414892
61.7842101077,654.243242407,38.390928296063485
17.728752012,57.0577819906,11.016135774576474
-2.89145147429,43.4893411842,-1.7966646498759744
19.6132041849,-12.4033614585,12.18708006796558
12.266070164,-43.5248038269,7.62178264187147
-3.73448841431,24.2270082381,-2.320503518396315
60.3193564211,579.652096298,37.48071041436759
57.0461828568,428.008819019,35.44685465431878
-9.54540029211,-36.3079707389,-5.931236759890986
37.3121699363,183.846012154,23.184707518280742
47.9174589375,324.596556468,29.77452858897787
55.5814439708,437.743053229,34.536708106408575
16.6726222133,-4.49705687098,10.359887142400877
48.3947036649,400.462055319,30.071074714231386
8.02227171934,6.51106075122,4.984808542698143
28.268030498,0.41973621694,17.564939812743578
5.44513761283,49.1999740017,3.3834516503805276
26.6623676629,79.2604468628,16.567227182566313
29.2564722638,107.091734491,18.1791290512159
45.2035807973,269.408399816,28.088202893414955
53.9188778162,446.343716231,33.50363739275133
20.4506909859,8.16703322659,12.707470239985982
66.9548674625,750.440787515,41.603825821266305
-7.00838384993,32.365246419,-4.354807828487881
4.02827407798,-36.0446851912,2.5030534664931796
49.7678177441,338.530172085,30.92428824670176
7.13513687845,5.1216671863,4.433568508939046
30.6602315512,75.5613471451,19.051384633241867
31.0605666402,173.34668038,19.300141324788235
22.1327082958,166.784891093,13.752627341202379
53.1287851531,409.736179482,33.012696572702914
19.7326828113,44.3373551626,12.261320644498626
-8.66841349587,157.524759098,-5.386302428734938
26.4002099883,47.1242022377,16.404329955745943
0.433026189954,68.6959493561,0.2690699999217072
50.4982711004,295.186286613,31.378170919579652
64.3147537788,627.977556416,39.963335233983535
68.2019911823,576.337115486,42.37875257390589
44.8422247384,211.81065621,27.863666648274076
30.6491281086,36.5982412401,19.044485273875566
2.20303737381,19.257545661,1.3689039595077248
67.620600663,745.711836302,42.01749325377297
25.1950132792,43.1113379152,15.655455439731966
63.9890724575,658.616950673,39.760966243077924
7.92019511421,-101.241336965,4.921381080868975
